usage,model,llm_calls,token_reported_calls,chat_time_s,prompt_tokens,completion_tokens,total_tokens,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,max_prompt_tokens,max_completion_tokens,max_total_tokens,valid_responses,invalid_responses,empty_responses,schema_failures,truncated_responses,discarded_completion_tokens
doc_parse,deepseek-v4-flash,247,247,1167.109012,150174,77079,227253,607.992,312.061,920.053,2643,2773,5228,178,69,64,5,0,9872
infer_dependency,deepseek-v4-flash,361,361,51391.769050,1128008,5047517,6175525,3124.676,13982.042,17106.717,3316,46593,49327,361,0,0,0,0,0
ir_generation,deepseek-v4-flash,20,20,3294.053793,58600,352067,410667,2930.000,17603.350,20533.350,3260,28236,31466,20,0,0,0,0,0
ir_repair,deepseek-v4-flash,1,1,167.908206,481,17744,18225,481.000,17744.000,18225.000,481,17744,18225,1,0,0,0,0,0
possible_res,deepseek-v4-flash,19,19,3325.745732,54440,364944,419384,2865.263,19207.579,22072.842,2867,52203,55069,19,0,0,0,0,0
req_query,deepseek-v4-flash,1,1,159.950060,3115,16608,19723,3115.000,16608.000,19723.000,3115,16608,19723,1,0,0,0,0,0
req_type_rules,deepseek-v4-flash,1,1,92.885027,3303,10323,13626,3303.000,10323.000,13626.000,3303,10323,13626,1,0,0,0,0,0
res_query,deepseek-v4-flash,1,1,152.379241,3149,15718,18867,3149.000,15718.000,18867.000,3149,15718,18867,1,0,0,0,0,0
res_type_rules,deepseek-v4-flash,1,1,169.452227,3327,20953,24280,3327.000,20953.000,24280.000,3327,20953,24280,1,0,0,0,0,0
section_type_annotation,deepseek-v4-flash,69,69,738.724030,52178,70757,122935,756.203,1025.464,1781.667,1914,2909,4321,58,11,0,11,0,6344
